# [1] z, [2] ICII
16.9782, 4.9198e-07
15.6326, 1.8701e-03
15.0326, 1.1909e-02
14.4744, 4.0072e-02
13.9537, 1.0441e-01
13.4670, 2.3174e-01
13.0109, 4.1623e-01
12.5827, 6.5885e-01
12.1799, 9.6137e-01
11.8003, 1.4462e+00
11.4420, 1.9422e+00
11.1032, 2.4340e+00
10.6282, 3.7842e+00
10.1891, 5.5361e+00
9.7819, 7.6786e+00
9.4033, 1.0466e+01
9.0505, 1.3774e+01
8.7207, 1.7730e+01
8.4119, 2.2255e+01
8.1222, 2.7581e+01
7.8497, 3.2985e+01
7.5931, 3.8508e+01
7.3509, 4.5400e+01
7.1220, 5.2691e+01
6.9053, 6.0417e+01
6.6998, 6.8573e+01
6.5048, 7.8145e+01
6.3194, 8.7256e+01
6.0579, 1.0369e+02
5.8144, 1.1922e+02
5.5872, 1.3872e+02
5.3746, 1.5785e+02
5.1753, 1.8214e+02
4.9881, 2.0547e+02
4.8119, 2.3244e+02
4.6458, 2.6161e+02
4.4889, 2.9602e+02
4.3405, 3.2937e+02
4.1999, 3.6401e+02
4.0665, 4.1559e+02
3.9399, 4.5282e+02
3.8193, 5.0965e+02
3.7046, 5.7104e+02
3.5951, 6.3912e+02
3.4906, 7.2713e+02
3.3908, 7.8919e+02
3.2953, 8.8322e+02
3.2039, 9.8776e+02
3.1163, 1.0843e+03
3.0323, 1.1940e+03
2.9516, 1.3095e+03
2.8741, 1.4464e+03
2.7996, 1.5765e+03
2.7279, 1.7311e+03
2.6588, 1.8786e+03
2.5923, 2.0198e+03
2.5281, 2.1791e+03
2.4662, 2.3619e+03
2.4065, 2.5327e+03
2.3487, 2.7030e+03
2.2929, 2.8280e+03
2.2389, 2.9996e+03
2.1866, 3.1784e+03
2.1360, 3.3566e+03
2.0870, 3.4730e+03
2.0395, 3.6264e+03
1.9935, 3.7520e+03
1.9488, 3.9169e+03
1.9054, 4.0500e+03
1.8633, 4.1709e+03
1.8224, 4.2619e+03
1.7826, 4.3510e+03
1.7440, 4.4478e+03
1.7064, 4.5417e+03
1.6698, 4.6210e+03
1.6342, 4.6176e+03
1.5995, 4.6927e+03
1.5658, 4.7953e+03
1.5329, 4.7921e+03
1.5008, 4.8214e+03
1.4695, 4.8683e+03
1.4390, 4.8286e+03
1.4093, 4.8618e+03
1.3803, 4.8503e+03
1.3519, 4.8364e+03
1.3242, 4.8661e+03
1.2972, 4.8117e+03
1.2708, 4.8168e+03
1.2450, 4.7883e+03
1.2198, 4.7471e+03
1.1951, 4.7477e+03
1.1710, 4.6526e+03
1.1474, 4.6268e+03
1.1243, 4.5662e+03
1.1017, 4.5489e+03
1.0796, 4.5173e+03
1.0579, 4.4456e+03
1.0367, 4.3719e+03
1.0159, 4.2905e+03
0.9955, 4.2558e+03
0.9756, 4.1959e+03
0.9560, 4.1390e+03
0.9368, 4.0853e+03
0.9180, 4.0151e+03
0.8996, 3.9515e+03
0.8815, 3.8775e+03
0.8637, 3.8226e+03
0.8463, 3.7557e+03
0.8292, 3.7091e+03
0.8124, 3.6412e+03
0.7959, 3.5819e+03
0.7798, 3.5310e+03
0.7639, 3.4508e+03
0.7483, 3.4007e+03
0.7329, 3.3444e+03
0.7179, 3.2920e+03
0.7030, 3.2352e+03
0.6885, 3.1694e+03
0.6742, 3.1210e+03
0.6601, 3.0732e+03
0.6463, 3.0380e+03
0.6327, 2.9806e+03
0.6193, 2.9247e+03
0.6061, 2.8759e+03
0.5932, 2.8150e+03
0.5804, 2.7814e+03
0.5679, 2.7190e+03
0.5555, 2.6893e+03
0.5434, 2.6358e+03
0.5314, 2.5968e+03
0.5196, 2.5615e+03
0.5080, 2.5174e+03
0.4966, 2.4844e+03
0.4853, 2.4381e+03
0.4743, 2.4055e+03
0.4633, 2.3542e+03
0.4472, 2.3099e+03
0.4315, 2.2591e+03
0.4161, 2.2115e+03
0.4011, 2.1577e+03
0.3863, 2.1067e+03
0.3719, 2.0676e+03
0.3577, 2.0218e+03
0.3439, 1.9726e+03
0.3303, 1.9335e+03
0.3170, 1.8970e+03
0.3039, 1.8445e+03
0.2912, 1.8145e+03
0.2786, 1.7719e+03
0.2663, 1.7356e+03
0.2543, 1.7053e+03
0.2424, 1.6688e+03
0.2308, 1.6333e+03
0.2194, 1.6034e+03
0.2082, 1.5743e+03
0.1972, 1.5386e+03
0.1865, 1.5100e+03
0.1759, 1.4890e+03
0.1655, 1.4520e+03
0.1552, 1.4308e+03
0.1452, 1.4027e+03
0.1353, 1.3716e+03
0.1256, 1.3554e+03
0.1161, 1.3271e+03
0.1067, 1.3091e+03
0.0975, 1.2924e+03
0.0884, 1.2706e+03
0.0795, 1.2417e+03
0.0707, 1.2237e+03
0.0621, 1.2079e+03
0.0536, 1.1857e+03
0.0452, 1.1581e+03
0.0370, 1.1432e+03
0.0289, 1.1214e+03
0.0209, 1.1060e+03
0.0130, 1.0847e+03
0.0053, 1.0761e+03
-0.0023, 1.0433e+03
