# [1] z, [2] ICII
16.9782, 9.9585e-08
15.6326, 6.0395e-04
15.0326, 4.3203e-03
14.4744, 1.5909e-02
13.9537, 4.4056e-02
13.4670, 1.0433e-01
13.0109, 1.9399e-01
12.5827, 3.0659e-01
12.1799, 4.4997e-01
11.8003, 6.9158e-01
11.4420, 9.1407e-01
11.1032, 1.1085e+00
10.6282, 1.7284e+00
10.1891, 2.5506e+00
9.7819, 3.5222e+00
9.4033, 4.8653e+00
9.0505, 6.4170e+00
8.7207, 8.4129e+00
8.4119, 1.0633e+01
8.1222, 1.3383e+01
7.8497, 1.6095e+01
7.5931, 1.9043e+01
7.3509, 2.2950e+01
7.1220, 2.7446e+01
6.9053, 3.2694e+01
6.6998, 3.7225e+01
6.5048, 4.3842e+01
6.3194, 4.9261e+01
6.0579, 6.1183e+01
5.8144, 7.1766e+01
5.5872, 8.6561e+01
5.3746, 1.0070e+02
5.1753, 1.2129e+02
4.9881, 1.4008e+02
4.8119, 1.6460e+02
4.6458, 1.8953e+02
4.4889, 2.2172e+02
4.3405, 2.5142e+02
4.1999, 2.8211e+02
4.0665, 3.3552e+02
3.9399, 3.6632e+02
3.8193, 4.1983e+02
3.7046, 4.8156e+02
3.5951, 5.4893e+02
3.4906, 6.4460e+02
3.3908, 6.9741e+02
3.2953, 7.9701e+02
3.2039, 9.0870e+02
3.1163, 1.0057e+03
3.0323, 1.1183e+03
2.9516, 1.2419e+03
2.8741, 1.3947e+03
2.7996, 1.5277e+03
2.7279, 1.7007e+03
2.6588, 1.8583e+03
2.5923, 2.0125e+03
2.5281, 2.1866e+03
2.4662, 2.3970e+03
2.4065, 2.5776e+03
2.3487, 2.7718e+03
2.2929, 2.8970e+03
2.2389, 3.0722e+03
2.1866, 3.2712e+03
2.1360, 3.4676e+03
2.0870, 3.5776e+03
2.0395, 3.7248e+03
1.9935, 3.8435e+03
1.9488, 4.0197e+03
1.9054, 4.1463e+03
1.8633, 4.2495e+03
1.8224, 4.3263e+03
1.7826, 4.3875e+03
1.7440, 4.4676e+03
1.7064, 4.5322e+03
1.6698, 4.5842e+03
1.6342, 4.5471e+03
1.5995, 4.5948e+03
1.5658, 4.6738e+03
1.5329, 4.6245e+03
1.5008, 4.6241e+03
1.4695, 4.6371e+03
1.4390, 4.5495e+03
1.4093, 4.5503e+03
1.3803, 4.4966e+03
1.3519, 4.4498e+03
1.3242, 4.4517e+03
1.2972, 4.3555e+03
1.2708, 4.3314e+03
1.2450, 4.2646e+03
1.2198, 4.1921e+03
1.1951, 4.1669e+03
1.1710, 4.0356e+03
1.1474, 3.9809e+03
1.1243, 3.8877e+03
1.1017, 3.8474e+03
1.0796, 3.7925e+03
1.0579, 3.6988e+03
1.0367, 3.5985e+03
1.0159, 3.4981e+03
0.9955, 3.4422e+03
0.9756, 3.3660e+03
0.9560, 3.2914e+03
0.9368, 3.2236e+03
0.9180, 3.1408e+03
0.8996, 3.0643e+03
0.8815, 2.9809e+03
0.8637, 2.9174e+03
0.8463, 2.8422e+03
0.8292, 2.7866e+03
0.8124, 2.7095e+03
0.7959, 2.6481e+03
0.7798, 2.5915e+03
0.7639, 2.5074e+03
0.7483, 2.4553e+03
0.7329, 2.4003e+03
0.7179, 2.3456e+03
0.7030, 2.2866e+03
0.6885, 2.2236e+03
0.6742, 2.1746e+03
0.6601, 2.1272e+03
0.6463, 2.0926e+03
0.6327, 2.0368e+03
0.6193, 1.9880e+03
0.6061, 1.9416e+03
0.5932, 1.8855e+03
0.5804, 1.8541e+03
0.5679, 1.7990e+03
0.5555, 1.7711e+03
0.5434, 1.7270e+03
0.5314, 1.6907e+03
0.5196, 1.6596e+03
0.5080, 1.6212e+03
0.4966, 1.5950e+03
0.4853, 1.5554e+03
0.4743, 1.5268e+03
0.4633, 1.4848e+03
0.4472, 1.4478e+03
0.4315, 1.4070e+03
0.4161, 1.3663e+03
0.4011, 1.3240e+03
0.3863, 1.2832e+03
0.3719, 1.2509e+03
0.3577, 1.2154e+03
0.3439, 1.1777e+03
0.3303, 1.1471e+03
0.3170, 1.1208e+03
0.3039, 1.0806e+03
0.2912, 1.0594e+03
0.2786, 1.0278e+03
0.2663, 9.9984e+02
0.2543, 9.7893e+02
0.2424, 9.5240e+02
0.2308, 9.2632e+02
0.2194, 9.0636e+02
0.2082, 8.8513e+02
0.1972, 8.6060e+02
0.1865, 8.4066e+02
0.1759, 8.2618e+02
0.1655, 8.0028e+02
0.1552, 7.8618e+02
0.1452, 7.6707e+02
0.1353, 7.4448e+02
0.1256, 7.3478e+02
0.1161, 7.1549e+02
0.1067, 7.0472e+02
0.0975, 6.9410e+02
0.0884, 6.7859e+02
0.0795, 6.5914e+02
0.0707, 6.4825e+02
0.0621, 6.3703e+02
0.0536, 6.2434e+02
0.0452, 6.0491e+02
0.0370, 5.9632e+02
0.0289, 5.8125e+02
0.0209, 5.7148e+02
0.0130, 5.5706e+02
0.0053, 5.5265e+02
-0.0023, 5.3158e+02
