# [1] z, [2] ICII
16.9782,    inf
15.6326, 1.0879e+00
15.0326, 1.3639e+00
14.4744, 2.0293e+00
13.9537, 2.7235e+00
13.4670, 3.5429e+00
13.0109, 4.7080e+00
12.5827, 6.3744e+00
12.1799, 8.3213e+00
11.8003, 1.1127e+01
11.4420, 1.4709e+01
11.1032, 1.9049e+01
10.6282, 2.7349e+01
10.1891, 3.8848e+01
9.7819, 5.4085e+01
9.4033, 7.4031e+01
9.0505, 9.9671e+01
8.7207, 1.3243e+02
8.4119, 1.7315e+02
8.1222, 2.2380e+02
7.8497, 2.8475e+02
7.5931, 3.5763e+02
7.3509, 4.4391e+02
7.1220, 5.4584e+02
6.9053, 6.6612e+02
6.6998, 8.0732e+02
6.5048, 9.7225e+02
6.3194, 1.1629e+03
6.0579, 1.5009e+03
5.8144, 1.9147e+03
5.5872, 2.4118e+03
5.3746, 3.0028e+03
5.1753, 3.6981e+03
4.9881, 4.5066e+03
4.8119, 5.4354e+03
4.6458, 6.4913e+03
4.4889, 7.6859e+03
4.3405, 9.0291e+03
4.1999, 1.0533e+04
4.0665, 1.2205e+04
3.9399, 1.4057e+04
3.8193, 1.6099e+04
3.7046, 1.8341e+04
3.5951, 2.0787e+04
3.4906, 2.3423e+04
3.3908, 2.6287e+04
3.2953, 2.9379e+04
3.2039, 3.2703e+04
3.1163, 3.6269e+04
3.0323, 4.0081e+04
2.9516, 4.4145e+04
2.8741, 4.8475e+04
2.7996, 5.3072e+04
2.7279, 5.7940e+04
2.6588, 6.3087e+04
2.5923, 6.8513e+04
2.5281, 7.4219e+04
2.4662, 8.0218e+04
2.4065, 8.6507e+04
2.3487, 9.3096e+04
2.2929, 9.9981e+04
2.2389, 1.0717e+05
2.1866, 1.1466e+05
2.1360, 1.2245e+05
2.0870, 1.3054e+05
2.0395, 1.3894e+05
1.9935, 1.4765e+05
1.9488, 1.5665e+05
1.9054, 1.6597e+05
1.8633, 1.7558e+05
1.8224, 1.8550e+05
1.7826, 1.9572e+05
1.7440, 2.0624e+05
1.7064, 2.1707e+05
1.6698, 2.2820e+05
1.6342, 2.3961e+05
1.5995, 2.5132e+05
1.5658, 2.6332e+05
1.5329, 2.7561e+05
1.5008, 2.8818e+05
1.4695, 3.0104e+05
1.4390, 3.1418e+05
1.4093, 3.2759e+05
1.3803, 3.4128e+05
1.3519, 3.5523e+05
1.3242, 3.6946e+05
1.2972, 3.8394e+05
1.2708, 3.9867e+05
1.2450, 4.1365e+05
1.2198, 4.2888e+05
1.1951, 4.4436e+05
1.1710, 4.6007e+05
1.1474, 4.7602e+05
1.1243, 4.9221e+05
1.1017, 5.0860e+05
1.0796, 5.2523e+05
1.0579, 5.4207e+05
1.0367, 5.5910e+05
1.0159, 5.7634e+05
0.9955, 5.9377e+05
0.9756, 6.1141e+05
0.9560, 6.2921e+05
0.9368, 6.4719e+05
0.9180, 6.6537e+05
0.8996, 6.8370e+05
0.8815, 7.0217e+05
0.8637, 7.2084e+05
0.8463, 7.3962e+05
0.8292, 7.5859e+05
0.8124, 7.7768e+05
0.7959, 7.9689e+05
0.7798, 8.1625e+05
0.7639, 8.3574e+05
0.7483, 8.5535e+05
0.7329, 8.7504e+05
0.7179, 8.9489e+05
0.7030, 9.1484e+05
0.6885, 9.3488e+05
0.6742, 9.5500e+05
0.6601, 9.7521e+05
0.6463, 9.9553e+05
0.6327, 1.0159e+06
0.6193, 1.0364e+06
0.6061, 1.0569e+06
0.5932, 1.0775e+06
0.5804, 1.0982e+06
0.5679, 1.1189e+06
0.5555, 1.1397e+06
0.5434, 1.1606e+06
0.5314, 1.1815e+06
0.5196, 1.2024e+06
0.5080, 1.2233e+06
0.4966, 1.2443e+06
0.4853, 1.2654e+06
0.4743, 1.2864e+06
0.4633, 1.3074e+06
0.4472, 1.3391e+06
0.4315, 1.3707e+06
0.4161, 1.4023e+06
0.4011, 1.4339e+06
0.3863, 1.4655e+06
0.3719, 1.4971e+06
0.3577, 1.5286e+06
0.3439, 1.5601e+06
0.3303, 1.5915e+06
0.3170, 1.6229e+06
0.3039, 1.6542e+06
0.2912, 1.6853e+06
0.2786, 1.7164e+06
0.2663, 1.7474e+06
0.2543, 1.7783e+06
0.2424, 1.8090e+06
0.2308, 1.8397e+06
0.2194, 1.8703e+06
0.2082, 1.9007e+06
0.1972, 1.9310e+06
0.1865, 1.9612e+06
0.1759, 1.9912e+06
0.1655, 2.0210e+06
0.1552, 2.0507e+06
0.1452, 2.0803e+06
0.1353, 2.1097e+06
0.1256, 2.1389e+06
0.1161, 2.1680e+06
0.1067, 2.1969e+06
0.0975, 2.2256e+06
0.0884, 2.2542e+06
0.0795, 2.2825e+06
0.0707, 2.3106e+06
0.0621, 2.3386e+06
0.0536, 2.3665e+06
0.0452, 2.3941e+06
0.0370, 2.4214e+06
0.0289, 2.4485e+06
0.0209, 2.4754e+06
0.0130, 2.5021e+06
0.0053, 2.5286e+06
-0.0023, 0.0000e+00
