# [1] z, [2] ICII
16.9782,    nan
15.6326,    nan
15.0326,    nan
14.4744,    nan
13.9537,    nan
13.4670,    nan
13.0109,    nan
12.5827,    nan
12.1799,    nan
11.8003,    nan
11.4420,    nan
11.1032,    nan
10.6282,    nan
10.1891,    nan
9.7819,    nan
9.4033,    nan
9.0505,    nan
8.7207,    nan
8.4119,    nan
8.1222,    nan
7.8497,    nan
7.5931,    nan
7.3509,    nan
7.1220,    nan
6.9053,    nan
6.6998,    nan
6.5048,    nan
6.3194,    nan
6.0579,    nan
5.8144,    nan
5.5872,    nan
5.3746,    nan
5.1753,    nan
4.9881,    nan
4.8119,    nan
4.6458,    nan
4.4889,    nan
4.3405,    nan
4.1999, 1.6053e+04
4.0665, 1.6906e+04
3.9399, 1.7777e+04
3.8193, 1.8678e+04
3.7046, 1.9569e+04
3.5951, 2.0485e+04
3.4906, 2.1432e+04
3.3908, 2.2401e+04
3.2953, 2.3386e+04
3.2039, 2.4397e+04
3.1163, 2.5408e+04
3.0323, 2.6449e+04
2.9516, 2.7620e+04
2.8741, 2.8578e+04
2.7996, 2.9668e+04
2.7279, 3.0780e+04
2.6588, 3.1932e+04
2.5923, 3.3050e+04
2.5281, 3.4257e+04
2.4662, 3.5440e+04
2.4065, 3.6652e+04
2.3487, 3.7881e+04
2.2929, 3.9119e+04
2.2389, 4.0403e+04
2.1866, 4.1706e+04
2.1360, 4.3013e+04
2.0870, 4.4347e+04
2.0395, 4.5757e+04
1.9935, 4.6722e+04
1.9488, 4.5304e+04
1.9054, 4.3930e+04
1.8633, 4.2684e+04
1.8224, 4.1530e+04
1.7826, 4.0446e+04
1.7440, 3.9445e+04
1.7064, 3.8521e+04
1.6698, 3.7661e+04
1.6342, 3.6867e+04
1.5995, 3.6132e+04
1.5658, 3.5463e+04
1.5329, 3.4827e+04
1.5008, 3.4252e+04
1.4695, 3.3710e+04
1.4390, 3.3311e+04
1.4093, 3.2760e+04
1.3803, 3.2342e+04
1.3519, 3.1958e+04
1.3242, 3.1603e+04
1.2972, 3.1285e+04
1.2708, 3.0994e+04
1.2450, 3.0718e+04
1.2198, 3.0474e+04
1.1951, 3.0252e+04
1.1710, 3.0058e+04
1.1474, 2.9884e+04
1.1243, 2.9719e+04
1.1017, 2.9590e+04
1.0796, 2.8504e+04
1.0579, 2.7423e+04
1.0367, 2.6397e+04
1.0159, 2.5433e+04
0.9955, 2.4529e+04
0.9756, 2.3676e+04
0.9560, 2.2872e+04
0.9368, 2.2109e+04
0.9180, 2.1391e+04
0.8996, 2.0708e+04
0.8815, 2.0061e+04
0.8637, 1.9449e+04
0.8463, 1.8868e+04
0.8292, 1.8313e+04
0.8124, 1.7791e+04
0.7959, 1.7283e+04
0.7798, 1.6805e+04
0.7639, 1.6348e+04
0.7483, 1.5912e+04
0.7329, 1.5496e+04
0.7179, 1.5098e+04
0.7030, 1.4717e+04
0.6885, 1.4353e+04
0.6742, 1.4001e+04
0.6601, 1.3665e+04
0.6463, 1.3342e+04
0.6327, 1.3033e+04
0.6193, 1.2735e+04
0.6061, 1.2448e+04
0.5932, 1.2173e+04
0.5804, 1.1907e+04
0.5679, 1.1651e+04
0.5555, 1.1404e+04
0.5434, 1.1166e+04
0.5314, 1.0936e+04
0.5196, 1.0714e+04
0.5080, 1.0499e+04
0.4966, 1.0291e+04
0.4853, 1.0090e+04
0.4743, 9.8955e+03
0.4633, 9.7066e+03
0.4472, 9.4351e+03
0.4315, 9.1751e+03
0.4161, 8.9270e+03
0.4011, 8.6890e+03
0.3863, 8.4617e+03
0.3719, 8.2431e+03
0.3577, 8.0339e+03
0.3439, 7.8333e+03
0.3303, 7.6393e+03
0.3170, 7.4537e+03
0.3039, 7.2749e+03
0.2912, 7.1021e+03
0.2786, 6.9360e+03
0.2663, 6.7759e+03
0.2543, 6.6214e+03
0.2424, 6.4714e+03
0.2308, 6.3272e+03
0.2194, 6.1879e+03
0.2082, 6.0520e+03
0.1972, 5.9214e+03
0.1865, 5.7950e+03
0.1759, 5.6724e+03
0.1655, 5.5529e+03
0.1552, 5.4378e+03
0.1452, 5.3259e+03
0.1353, 5.2168e+03
0.1256, 5.1114e+03
0.1161, 5.0091e+03
0.1067, 4.9097e+03
0.0975, 4.8125e+03
0.0884, 4.7186e+03
0.0795, 4.6266e+03
0.0707, 4.5377e+03
0.0621, 4.4512e+03
0.0536, 4.3663e+03
0.0452, 4.2843e+03
0.0370, 4.2039e+03
0.0289, 4.1261e+03
0.0209, 4.0500e+03
0.0130, 3.9754e+03
0.0053, 3.9033e+03
-0.0023, 3.8327e+03
