# [1] z, [2] ICII
16.9782, 1.1970e-03
15.6326, 1.9964e-02
15.0326, 8.2774e-02
14.4744, 2.4197e-01
13.9537, 5.9903e-01
13.4670, 1.2686e+00
13.0109, 2.2703e+00
12.5827, 3.6458e+00
12.1799, 5.5500e+00
11.8003, 8.1813e+00
11.4420, 1.1321e+01
11.1032, 1.4750e+01
10.6282, 2.3597e+01
10.1891, 3.4928e+01
9.7819, 4.9798e+01
9.4033, 6.9251e+01
9.0505, 9.3875e+01
8.7207, 1.2307e+02
8.4119, 1.5685e+02
8.1222, 2.0040e+02
7.8497, 2.4459e+02
7.5931, 2.9440e+02
7.3509, 3.5069e+02
7.1220, 4.1879e+02
6.9053, 4.9168e+02
6.6998, 5.6587e+02
6.5048, 6.4947e+02
6.3194, 7.3634e+02
6.0579, 9.0753e+02
5.8144, 1.0938e+03
5.5872, 1.2765e+03
5.3746, 1.5087e+03
5.1753, 1.8422e+03
4.9881, 2.1093e+03
4.8119, 2.4983e+03
4.6458, 2.7492e+03
4.4889, 3.1674e+03
4.3405, 3.5626e+03
4.1999, 4.0195e+03
4.0665, 4.6399e+03
3.9399, 5.1293e+03
3.8193, 5.6501e+03
3.7046, 6.5656e+03
3.5951, 7.5211e+03
3.4906, 8.5039e+03
3.3908, 9.3992e+03
3.2953, 1.0823e+04
3.2039, 1.2208e+04
3.1163, 1.3856e+04
3.0323, 1.5529e+04
2.9516, 1.7012e+04
2.8741, 1.9152e+04
2.7996, 2.0900e+04
2.7279, 2.3486e+04
2.6588, 2.5805e+04
2.5923, 2.8534e+04
2.5281, 3.0954e+04
2.4662, 3.3872e+04
2.4065, 3.5567e+04
2.3487, 3.8154e+04
2.2929, 3.9202e+04
2.2389, 4.0945e+04
2.1866, 4.3036e+04
2.1360, 4.4748e+04
2.0870, 4.5716e+04
2.0395, 4.7633e+04
1.9935, 4.8175e+04
1.9488, 4.8745e+04
1.9054, 4.9511e+04
1.8633, 4.9212e+04
1.8224, 4.8848e+04
1.7826, 4.8438e+04
1.7440, 4.8280e+04
1.7064, 4.7384e+04
1.6698, 4.6498e+04
1.6342, 4.6393e+04
1.5995, 4.5291e+04
1.5658, 4.4614e+04
1.5329, 4.3610e+04
1.5008, 4.3067e+04
1.4695, 4.1780e+04
1.4390, 4.0753e+04
1.4093, 3.9737e+04
1.3803, 3.8838e+04
1.3519, 3.8007e+04
1.3242, 3.7333e+04
1.2972, 3.6253e+04
1.2708, 3.5452e+04
1.2450, 3.4529e+04
1.2198, 3.3643e+04
1.1951, 3.2833e+04
1.1710, 3.2130e+04
1.1474, 3.1255e+04
1.1243, 3.0511e+04
1.1017, 2.9897e+04
1.0796, 2.9129e+04
1.0579, 2.8519e+04
1.0367, 2.7801e+04
1.0159, 2.7171e+04
0.9955, 2.6605e+04
0.9756, 2.6060e+04
0.9560, 2.5522e+04
0.9368, 2.4980e+04
0.9180, 2.4466e+04
0.8996, 2.4029e+04
0.8815, 2.3595e+04
0.8637, 2.3171e+04
0.8463, 2.2777e+04
0.8292, 2.2352e+04
0.8124, 2.1943e+04
0.7959, 2.1565e+04
0.7798, 2.1230e+04
0.7639, 2.0868e+04
0.7483, 2.0587e+04
0.7329, 2.0275e+04
0.7179, 1.9985e+04
0.7030, 1.9674e+04
0.6885, 1.9416e+04
0.6742, 1.9139e+04
0.6601, 1.8894e+04
0.6463, 1.8660e+04
0.6327, 1.8415e+04
0.6193, 1.8175e+04
0.6061, 1.7947e+04
0.5932, 1.7704e+04
0.5804, 1.7502e+04
0.5679, 1.7317e+04
0.5555, 1.7113e+04
0.5434, 1.6922e+04
0.5314, 1.6718e+04
0.5196, 1.6559e+04
0.5080, 1.6373e+04
0.4966, 1.6229e+04
0.4853, 1.6039e+04
0.4743, 1.5884e+04
0.4633, 1.5727e+04
0.4472, 1.5523e+04
0.4315, 1.5310e+04
0.4161, 1.5080e+04
0.4011, 1.4892e+04
0.3863, 1.4695e+04
0.3719, 1.4496e+04
0.3577, 1.4317e+04
0.3439, 1.4126e+04
0.3303, 1.3948e+04
0.3170, 1.3794e+04
0.3039, 1.3638e+04
0.2912, 1.3494e+04
0.2786, 1.3343e+04
0.2663, 1.3193e+04
0.2543, 1.3063e+04
0.2424, 1.2933e+04
0.2308, 1.2806e+04
0.2194, 1.2677e+04
0.2082, 1.2565e+04
0.1972, 1.2453e+04
0.1865, 1.2335e+04
0.1759, 1.2234e+04
0.1655, 1.2121e+04
0.1552, 1.2026e+04
0.1452, 1.1930e+04
0.1353, 1.1826e+04
0.1256, 1.1746e+04
0.1161, 1.1672e+04
0.1067, 1.1592e+04
0.0975, 1.1520e+04
0.0884, 1.1455e+04
0.0795, 1.1364e+04
0.0707, 1.1290e+04
0.0621, 1.1207e+04
0.0536, 1.1149e+04
0.0452, 1.1088e+04
0.0370, 1.1013e+04
0.0289, 1.0925e+04
0.0209, 1.0833e+04
0.0130, 1.0744e+04
0.0053, 1.0660e+04
-0.0023, 1.0557e+04
