# [1] z, [2] ICII
16.9782, 2.7438e-33
15.6326, 8.1705e-20
15.0326, 3.9155e-16
14.4744, 5.6252e-14
13.9537, 4.9790e-12
13.4670, 1.4557e-10
13.0109, 3.0700e-09
12.5827, 4.8625e-08
12.1799, 3.2556e-07
11.8003, 2.8295e-06
11.4420, 9.3877e-06
11.1032, 2.3050e-05
10.6282, 8.1905e-05
10.1891, 2.5583e-04
9.7819, 7.3134e-04
9.4033, 1.9475e-03
9.0505, 4.8563e-03
8.7207, 1.1044e-02
8.4119, 2.4150e-02
8.1222, 5.0001e-02
7.8497, 9.7338e-02
7.5931, 1.8151e-01
7.3509, 3.2708e-01
7.1220, 5.6678e-01
6.9053, 9.4526e-01
6.6998, 1.5363e+00
6.5048, 2.4285e+00
6.3194, 3.7502e+00
6.0579, 6.9006e+00
5.8144, 1.2146e+01
5.5872, 2.0551e+01
5.3746, 3.3586e+01
5.1753, 5.3259e+01
4.9881, 8.1921e+01
4.8119, 1.2274e+02
4.6458, 1.7990e+02
4.4889, 2.5748e+02
4.3405, 3.6110e+02
4.1999, 4.9676e+02
4.0665, 6.7235e+02
3.9399, 8.9578e+02
3.8193, 1.1762e+03
3.7046, 1.5229e+03
3.5951, 1.9481e+03
3.4906, 2.4589e+03
3.3908, 3.0682e+03
3.2953, 3.7880e+03
3.2039, 4.6274e+03
3.1163, 5.6000e+03
3.0323, 6.7106e+03
2.9516, 7.9690e+03
2.8741, 9.3800e+03
2.7996, 1.0950e+04
2.7279, 1.2672e+04
2.6588, 1.4550e+04
2.5923, 1.6589e+04
2.5281, 1.8777e+04
2.4662, 2.1099e+04
2.4065, 2.3547e+04
2.3487, 2.6093e+04
2.2929, 2.8720e+04
2.2389, 3.1402e+04
2.1866, 3.4146e+04
2.1360, 3.6913e+04
2.0870, 3.9669e+04
2.0395, 4.2390e+04
1.9935, 4.5055e+04
1.9488, 4.7660e+04
1.9054, 5.0159e+04
1.8633, 5.2562e+04
1.8224, 5.4819e+04
1.7826, 5.6946e+04
1.7440, 5.8911e+04
1.7064, 6.0697e+04
1.6698, 6.2318e+04
1.6342, 6.3766e+04
1.5995, 6.5044e+04
1.5658, 6.6145e+04
1.5329, 6.7064e+04
1.5008, 6.7813e+04
1.4695, 6.8397e+04
1.4390, 6.8818e+04
1.4093, 6.9083e+04
1.3803, 6.9196e+04
1.3519, 6.9183e+04
1.3242, 6.9029e+04
1.2972, 6.8765e+04
1.2708, 6.8390e+04
1.2450, 6.7918e+04
1.2198, 6.7355e+04
1.1951, 6.6714e+04
1.1710, 6.5997e+04
1.1474, 6.5204e+04
1.1243, 6.4340e+04
1.1017, 6.3443e+04
1.0796, 6.2491e+04
1.0579, 6.1484e+04
1.0367, 6.0475e+04
1.0159, 5.9435e+04
0.9955, 5.8367e+04
0.9756, 5.7270e+04
0.9560, 5.6163e+04
0.9368, 5.5060e+04
0.9180, 5.3943e+04
0.8996, 5.2827e+04
0.8815, 5.1714e+04
0.8637, 5.0593e+04
0.8463, 4.9483e+04
0.8292, 4.8369e+04
0.8124, 4.7266e+04
0.7959, 4.6190e+04
0.7798, 4.5119e+04
0.7639, 4.4065e+04
0.7483, 4.3024e+04
0.7329, 4.2002e+04
0.7179, 4.0987e+04
0.7030, 3.9996e+04
0.6885, 3.9026e+04
0.6742, 3.8073e+04
0.6601, 3.7141e+04
0.6463, 3.6221e+04
0.6327, 3.5320e+04
0.6193, 3.4439e+04
0.6061, 3.3576e+04
0.5932, 3.2733e+04
0.5804, 3.1912e+04
0.5679, 3.1109e+04
0.5555, 3.0321e+04
0.5434, 2.9555e+04
0.5314, 2.8804e+04
0.5196, 2.8073e+04
0.5080, 2.7363e+04
0.4966, 2.6664e+04
0.4853, 2.5990e+04
0.4743, 2.5335e+04
0.4633, 2.4693e+04
0.4472, 2.3775e+04
0.4315, 2.2890e+04
0.4161, 2.2034e+04
0.4011, 2.1206e+04
0.3863, 2.0410e+04
0.3719, 1.9647e+04
0.3577, 1.8915e+04
0.3439, 1.8212e+04
0.3303, 1.7536e+04
0.3170, 1.6892e+04
0.3039, 1.6269e+04
0.2912, 1.5670e+04
0.2786, 1.5098e+04
0.2663, 1.4551e+04
0.2543, 1.4022e+04
0.2424, 1.3514e+04
0.2308, 1.3025e+04
0.2194, 1.2556e+04
0.2082, 1.2106e+04
0.1972, 1.1674e+04
0.1865, 1.1259e+04
0.1759, 1.0860e+04
0.1655, 1.0478e+04
0.1552, 1.0110e+04
0.1452, 9.7559e+03
0.1353, 9.4159e+03
0.1256, 9.0889e+03
0.1161, 8.7748e+03
0.1067, 8.4747e+03
0.0975, 8.1854e+03
0.0884, 7.9066e+03
0.0795, 7.6392e+03
0.0707, 7.3833e+03
0.0621, 7.1352e+03
0.0536, 6.8974e+03
0.0452, 6.6683e+03
0.0370, 6.4480e+03
0.0289, 6.2358e+03
0.0209, 6.0315e+03
0.0130, 5.8344e+03
0.0053, 5.6446e+03
-0.0023, 5.4602e+03
