# [1] z, [2] ICII
16.9782, 0.0000e+00
15.6326, 0.0000e+00
15.0326, 0.0000e+00
14.4744, 0.0000e+00
13.9537, 0.0000e+00
13.4670, 0.0000e+00
13.0109, 0.0000e+00
12.5827, 0.0000e+00
12.1799, 0.0000e+00
11.8003, 0.0000e+00
11.4420, 0.0000e+00
11.1032, 0.0000e+00
10.6282, 0.0000e+00
10.1891, 0.0000e+00
9.7819, 0.0000e+00
9.4033, 0.0000e+00
9.0505, 0.0000e+00
8.7207, 4.8268e+01
8.4119, 5.0233e+01
8.1222, 5.2538e+01
7.8497, 5.0498e+01
7.5931, 5.4150e+01
7.3509, 5.3201e+01
7.1220, 5.5719e+01
6.9053, 6.0676e+01
6.6998, 7.3661e+01
6.5048, 8.9640e+01
6.3194, 1.0949e+02
6.0579, 1.4996e+02
5.8144, 1.8581e+02
5.5872, 2.2435e+02
5.3746, 2.6338e+02
5.1753, 3.1018e+02
4.9881, 3.7218e+02
4.8119, 4.2155e+02
4.6458, 5.1462e+02
4.4889, 6.0776e+02
4.3405, 6.9612e+02
4.1999, 7.7885e+02
4.0665, 9.0683e+02
3.9399, 9.6104e+02
3.8193, 9.8769e+02
3.7046, 1.0775e+03
3.5951, 1.0836e+03
3.4906, 1.1590e+03
3.3908, 1.1920e+03
3.2953, 1.2325e+03
3.2039, 1.3313e+03
3.1163, 1.4889e+03
3.0323, 1.5997e+03
2.9516, 1.6898e+03
2.8741, 1.7538e+03
2.7996, 1.7981e+03
2.7279, 1.9097e+03
2.6588, 1.9359e+03
2.5923, 1.9972e+03
2.5281, 2.0681e+03
2.4662, 2.1340e+03
2.4065, 2.1951e+03
2.3487, 2.2329e+03
2.2929, 2.2565e+03
2.2389, 2.2963e+03
2.1866, 2.3713e+03
2.1360, 2.4701e+03
2.0870, 2.5156e+03
2.0395, 2.6190e+03
1.9935, 2.7486e+03
1.9488, 2.8687e+03
1.9054, 2.9264e+03
1.8633, 2.9972e+03
1.8224, 3.1359e+03
1.7826, 3.2145e+03
1.7440, 3.3134e+03
1.7064, 3.3853e+03
1.6698, 3.4625e+03
1.6342, 3.4451e+03
1.5995, 3.4849e+03
1.5658, 3.5541e+03
1.5329, 3.5372e+03
1.5008, 3.5862e+03
1.4695, 3.5864e+03
1.4390, 3.5953e+03
1.4093, 3.6039e+03
1.3803, 3.6486e+03
1.3519, 3.6446e+03
1.3242, 3.6749e+03
1.2972, 3.6890e+03
1.2708, 3.7769e+03
1.2450, 3.8750e+03
1.2198, 3.8697e+03
1.1951, 3.9464e+03
1.1710, 4.0086e+03
1.1474, 4.0825e+03
1.1243, 4.1138e+03
1.1017, 4.1861e+03
1.0796, 4.2305e+03
1.0579, 4.2116e+03
1.0367, 4.2169e+03
1.0159, 4.2906e+03
0.9955, 4.3223e+03
0.9756, 4.3487e+03
0.9560, 4.4042e+03
0.9368, 4.4268e+03
0.9180, 4.3614e+03
0.8996, 4.2948e+03
0.8815, 4.2040e+03
0.8637, 4.1862e+03
0.8463, 4.1048e+03
0.8292, 4.0960e+03
0.8124, 4.0485e+03
0.7959, 4.0128e+03
0.7798, 3.9610e+03
0.7639, 3.9464e+03
0.7483, 3.9023e+03
0.7329, 3.8544e+03
0.7179, 3.7918e+03
0.7030, 3.7789e+03
0.6885, 3.6952e+03
0.6742, 3.6991e+03
0.6601, 3.6506e+03
0.6463, 3.5997e+03
0.6327, 3.5391e+03
0.6193, 3.4713e+03
0.6061, 3.4004e+03
0.5932, 3.3203e+03
0.5804, 3.2917e+03
0.5679, 3.2238e+03
0.5555, 3.1954e+03
0.5434, 3.1275e+03
0.5314, 3.1192e+03
0.5196, 3.0881e+03
0.5080, 3.0428e+03
0.4966, 3.0328e+03
0.4853, 2.9667e+03
0.4743, 2.9172e+03
0.4633, 2.8536e+03
0.4472, 2.8174e+03
0.4315, 2.7743e+03
0.4161, 2.7275e+03
0.4011, 2.6816e+03
0.3863, 2.6463e+03
0.3719, 2.6069e+03
0.3577, 2.5972e+03
0.3439, 2.5220e+03
0.3303, 2.4590e+03
0.3170, 2.3950e+03
0.3039, 2.3323e+03
0.2912, 2.2669e+03
0.2786, 2.1943e+03
0.2663, 2.1340e+03
0.2543, 2.0809e+03
0.2424, 2.0309e+03
0.2308, 1.9681e+03
0.2194, 1.9164e+03
0.2082, 1.8892e+03
0.1972, 1.8494e+03
0.1865, 1.8033e+03
0.1759, 1.7722e+03
0.1655, 1.7272e+03
0.1552, 1.6940e+03
0.1452, 1.6669e+03
0.1353, 1.6318e+03
0.1256, 1.6175e+03
0.1161, 1.5767e+03
0.1067, 1.5412e+03
0.0975, 1.5307e+03
0.0884, 1.5039e+03
0.0795, 1.4812e+03
0.0707, 1.4586e+03
0.0621, 1.4503e+03
0.0536, 1.4158e+03
0.0452, 1.3835e+03
0.0370, 1.3652e+03
0.0289, 1.3393e+03
0.0209, 1.2986e+03
0.0130, 1.2858e+03
0.0053, 1.2583e+03
-0.0023, 1.2171e+03
