# [1] z, [2] ICII
16.9782,    nan
15.6326,    nan
15.0326,    nan
14.4744,    nan
13.9537,    nan
13.4670,    nan
13.0109,    nan
12.5827,    nan
12.1799,    nan
11.8003,    nan
11.4420,    nan
11.1032,    nan
10.6282,    nan
10.1891,    nan
9.7819,    nan
9.4033,    nan
9.0505,    nan
8.7207,    nan
8.4119,    nan
8.1222,    nan
7.8497,    nan
7.5931,    nan
7.3509,    nan
7.1220,    nan
6.9053,    nan
6.6998,    nan
6.5048,    nan
6.3194,    nan
6.0579,    nan
5.8144,    nan
5.5872,    nan
5.3746,    nan
5.1753,    nan
4.9881,    nan
4.8119,    nan
4.6458,    nan
4.4889,    nan
4.3405,    nan
4.1999, 2.6899e+02
4.0665, 3.1733e+02
3.9399, 3.2012e+02
3.8193, 3.5581e+02
3.7046, 3.9837e+02
3.5951, 4.3569e+02
3.4906, 4.8943e+02
3.3908, 5.1525e+02
3.2953, 5.4254e+02
3.2039, 6.1142e+02
3.1163, 6.6149e+02
3.0323, 7.0078e+02
2.9516, 7.6913e+02
2.8741, 8.1387e+02
2.7996, 8.8596e+02
2.7279, 9.7804e+02
2.6588, 1.0017e+03
2.5923, 1.0782e+03
2.5281, 1.1523e+03
2.4662, 1.2605e+03
2.4065, 1.3578e+03
2.3487, 1.4370e+03
2.2929, 1.5157e+03
2.2389, 1.6200e+03
2.1866, 1.7244e+03
2.1360, 1.8071e+03
2.0870, 1.9369e+03
2.0395, 2.0435e+03
1.9935, 2.1553e+03
1.9488, 2.2314e+03
1.9054, 2.2747e+03
1.8633, 2.3158e+03
1.8224, 2.4334e+03
1.7826, 2.4380e+03
1.7440, 2.5308e+03
1.7064, 2.5957e+03
1.6698, 2.6785e+03
1.6342, 2.6976e+03
1.5995, 2.7684e+03
1.5658, 2.8093e+03
1.5329, 2.8640e+03
1.5008, 2.9459e+03
1.4695, 3.0170e+03
1.4390, 3.0853e+03
1.4093, 3.1423e+03
1.3803, 3.1973e+03
1.3519, 3.2813e+03
1.3242, 3.3179e+03
1.2972, 3.3689e+03
1.2708, 3.4731e+03
1.2450, 3.5153e+03
1.2198, 3.5945e+03
1.1951, 3.6457e+03
1.1710, 3.7296e+03
1.1474, 3.8285e+03
1.1243, 3.8491e+03
1.1017, 3.9393e+03
1.0796, 3.8975e+03
1.0579, 3.7733e+03
1.0367, 3.7253e+03
1.0159, 3.6608e+03
0.9955, 3.5910e+03
0.9756, 3.5434e+03
0.9560, 3.4757e+03
0.9368, 3.4454e+03
0.9180, 3.3640e+03
0.8996, 3.2863e+03
0.8815, 3.2402e+03
0.8637, 3.1643e+03
0.8463, 3.1168e+03
0.8292, 3.0824e+03
0.8124, 3.0160e+03
0.7959, 2.9409e+03
0.7798, 2.9215e+03
0.7639, 2.8758e+03
0.7483, 2.8122e+03
0.7329, 2.7644e+03
0.7179, 2.7242e+03
0.7030, 2.6991e+03
0.6885, 2.6376e+03
0.6742, 2.6040e+03
0.6601, 2.5432e+03
0.6463, 2.5239e+03
0.6327, 2.4726e+03
0.6193, 2.4189e+03
0.6061, 2.3881e+03
0.5932, 2.3472e+03
0.5804, 2.3201e+03
0.5679, 2.2800e+03
0.5555, 2.2347e+03
0.5434, 2.2043e+03
0.5314, 2.1821e+03
0.5196, 2.1452e+03
0.5080, 2.1083e+03
0.4966, 2.0639e+03
0.4853, 2.0329e+03
0.4743, 2.0077e+03
0.4633, 1.9686e+03
0.4472, 1.9146e+03
0.4315, 1.8888e+03
0.4161, 1.8508e+03
0.4011, 1.8031e+03
0.3863, 1.7626e+03
0.3719, 1.7261e+03
0.3577, 1.6921e+03
0.3439, 1.6474e+03
0.3303, 1.6195e+03
0.3170, 1.5788e+03
0.3039, 1.5436e+03
0.2912, 1.5119e+03
0.2786, 1.4874e+03
0.2663, 1.4441e+03
0.2543, 1.4074e+03
0.2424, 1.3890e+03
0.2308, 1.3523e+03
0.2194, 1.3183e+03
0.2082, 1.3019e+03
0.1972, 1.2733e+03
0.1865, 1.2375e+03
0.1759, 1.2141e+03
0.1655, 1.1837e+03
0.1552, 1.1712e+03
0.1452, 1.1383e+03
0.1353, 1.1225e+03
0.1256, 1.0973e+03
0.1161, 1.0724e+03
0.1067, 1.0592e+03
0.0975, 1.0279e+03
0.0884, 1.0115e+03
0.0795, 9.8900e+02
0.0707, 9.6951e+02
0.0621, 9.5403e+02
0.0536, 9.3855e+02
0.0452, 9.1068e+02
0.0370, 8.9793e+02
0.0289, 8.7845e+02
0.0209, 8.6314e+02
0.0130, 8.4751e+02
0.0053, 8.3453e+02
-0.0023, 8.1213e+02
