# [1] z, [2] ICII
16.9782, 5.1773e-07
15.6326, 1.9672e-03
15.0326, 1.2525e-02
14.4744, 4.2138e-02
13.9537, 1.0978e-01
13.4670, 2.4362e-01
13.0109, 4.3750e-01
12.5827, 6.9241e-01
12.1799, 1.0102e+00
11.8003, 1.5194e+00
11.4420, 2.0402e+00
11.1032, 2.5565e+00
10.6282, 3.9737e+00
10.1891, 5.8120e+00
9.7819, 8.0595e+00
9.4033, 1.0982e+01
9.0505, 1.4451e+01
8.7207, 1.8597e+01
8.4119, 2.3338e+01
8.1222, 2.8917e+01
7.8497, 3.4575e+01
7.5931, 4.0354e+01
7.3509, 4.7566e+01
7.1220, 5.5193e+01
6.9053, 6.3271e+01
6.6998, 7.1796e+01
6.5048, 8.1798e+01
6.3194, 9.1311e+01
6.0579, 1.0845e+02
5.8144, 1.2462e+02
5.5872, 1.4486e+02
5.3746, 1.6457e+02
5.1753, 1.8943e+02
4.9881, 2.1285e+02
4.8119, 2.3940e+02
4.6458, 2.6726e+02
4.4889, 2.9911e+02
4.3405, 3.2814e+02
4.1999, 3.5632e+02
4.0665, 3.9832e+02
3.9399, 4.2347e+02
3.8193, 4.6353e+02
3.7046, 5.0366e+02
3.5951, 5.4531e+02
3.4906, 5.9899e+02
3.3908, 6.2683e+02
3.2953, 6.7587e+02
3.2039, 7.2809e+02
3.1163, 7.7016e+02
3.0323, 8.1783e+02
2.9516, 8.6605e+02
2.8741, 9.2516e+02
2.7996, 9.7714e+02
2.7279, 1.0419e+03
2.6588, 1.1005e+03
2.5923, 1.1545e+03
2.5281, 1.2182e+03
2.4662, 1.2948e+03
2.4065, 1.3648e+03
2.3487, 1.4352e+03
2.2929, 1.4831e+03
2.2389, 1.5572e+03
2.1866, 1.6368e+03
2.1360, 1.7181e+03
2.0870, 1.7703e+03
2.0395, 1.8439e+03
1.9935, 1.9061e+03
1.9488, 1.9910e+03
1.9054, 2.0626e+03
1.8633, 2.1307e+03
1.8224, 2.1863e+03
1.7826, 2.2435e+03
1.7440, 2.3072e+03
1.7064, 2.3718e+03
1.6698, 2.4311e+03
1.6342, 2.4486e+03
1.5995, 2.5095e+03
1.5658, 2.5871e+03
1.5329, 2.6091e+03
1.5008, 2.6500e+03
1.4695, 2.7018e+03
1.4390, 2.7062e+03
1.4093, 2.7521e+03
1.3803, 2.7733e+03
1.3519, 2.7934e+03
1.3242, 2.8391e+03
1.2972, 2.8358e+03
1.2708, 2.8674e+03
1.2450, 2.8791e+03
1.2198, 2.8827e+03
1.1951, 2.9114e+03
1.1710, 2.8809e+03
1.1474, 2.8924e+03
1.1243, 2.8815e+03
1.1017, 2.8972e+03
1.0796, 2.9035e+03
1.0579, 2.8831e+03
1.0367, 2.8602e+03
1.0159, 2.8312e+03
0.9955, 2.8321e+03
0.9756, 2.8153e+03
0.9560, 2.7996e+03
0.9368, 2.7853e+03
0.9180, 2.7586e+03
0.8996, 2.7354e+03
0.8815, 2.7041e+03
0.8637, 2.6849e+03
0.8463, 2.6565e+03
0.8292, 2.6416e+03
0.8124, 2.6105e+03
0.7959, 2.5848e+03
0.7798, 2.5642e+03
0.7639, 2.5216e+03
0.7483, 2.5000e+03
0.7329, 2.4730e+03
0.7179, 2.4482e+03
0.7030, 2.4194e+03
0.6885, 2.3830e+03
0.6742, 2.3591e+03
0.6601, 2.3349e+03
0.6463, 2.3198e+03
0.6327, 2.2870e+03
0.6193, 2.2548e+03
0.6061, 2.2274e+03
0.5932, 2.1901e+03
0.5804, 2.1734e+03
0.5679, 2.1337e+03
0.5555, 2.1191e+03
0.5434, 2.0854e+03
0.5314, 2.0626e+03
0.5196, 2.0423e+03
0.5080, 2.0147e+03
0.4966, 1.9954e+03
0.4853, 1.9652e+03
0.4743, 1.9455e+03
0.4633, 1.9105e+03
0.4472, 1.8836e+03
0.4315, 1.8507e+03
0.4161, 1.8198e+03
0.4011, 1.7832e+03
0.3863, 1.7482e+03
0.3719, 1.7226e+03
0.3577, 1.6909e+03
0.3439, 1.6557e+03
0.3303, 1.6287e+03
0.3170, 1.6033e+03
0.3039, 1.5640e+03
0.2912, 1.5434e+03
0.2786, 1.5117e+03
0.2663, 1.4849e+03
0.2543, 1.4631e+03
0.2424, 1.4356e+03
0.2308, 1.4087e+03
0.2194, 1.3863e+03
0.2082, 1.3643e+03
0.1972, 1.3365e+03
0.1865, 1.3145e+03
0.1759, 1.2989e+03
0.1655, 1.2692e+03
0.1552, 1.2532e+03
0.1452, 1.2309e+03
0.1353, 1.2052e+03
0.1256, 1.1915e+03
0.1161, 1.1672e+03
0.1067, 1.1515e+03
0.0975, 1.1381e+03
0.0884, 1.1199e+03
0.0795, 1.0951e+03
0.0707, 1.0804e+03
0.0621, 1.0686e+03
0.0536, 1.0488e+03
0.0452, 1.0262e+03
0.0370, 1.0144e+03
0.0289, 9.9596e+02
0.0209, 9.8376e+02
0.0130, 9.6616e+02
0.0053, 9.5910e+02
-0.0023, 9.3044e+02
