# [1] z, [2] ICII
16.9782, 4.4091e-07
15.6326, 3.3558e-03
15.0326, 1.9566e-02
14.4744, 6.7035e-02
13.9537, 1.7778e-01
13.4670, 3.9497e-01
13.0109, 7.1252e-01
12.5827, 1.1136e+00
12.1799, 1.5871e+00
11.8003, 2.4734e+00
11.4420, 3.3268e+00
11.1032, 4.1923e+00
10.6282, 6.3856e+00
10.1891, 9.3923e+00
9.7819, 1.3104e+01
9.4033, 1.7862e+01
9.0505, 2.3557e+01
8.7207, 3.0260e+01
8.4119, 3.7913e+01
8.1222, 4.6642e+01
7.8497, 5.5587e+01
7.5931, 6.4558e+01
7.3509, 7.6924e+01
7.1220, 8.9442e+01
6.9053, 1.0286e+02
6.6998, 1.1718e+02
6.5048, 1.3417e+02
6.3194, 1.4813e+02
6.0579, 1.7686e+02
5.8144, 2.0042e+02
5.5872, 2.3539e+02
5.3746, 2.6682e+02
5.1753, 3.1198e+02
4.9881, 3.4662e+02
4.8119, 3.9687e+02
4.6458, 4.4332e+02
4.4889, 5.0573e+02
4.3405, 5.5973e+02
4.1999, 6.1356e+02
4.0665, 7.1394e+02
3.9399, 7.5696e+02
3.8193, 8.6456e+02
3.7046, 9.6752e+02
3.5951, 1.0809e+03
3.4906, 1.2530e+03
3.3908, 1.3290e+03
3.2953, 1.5038e+03
3.2039, 1.6817e+03
3.1163, 1.8419e+03
3.0323, 2.0504e+03
2.9516, 2.2208e+03
2.8741, 2.4736e+03
2.7996, 2.6942e+03
2.7279, 2.9496e+03
2.6588, 3.1922e+03
2.5923, 3.4112e+03
2.5281, 3.7254e+03
2.4662, 4.0141e+03
2.4065, 4.3244e+03
2.3487, 4.6220e+03
2.2929, 4.8201e+03
2.2389, 5.1121e+03
2.1866, 5.4310e+03
2.1360, 5.7446e+03
2.0870, 5.9546e+03
2.0395, 6.1246e+03
1.9935, 6.3714e+03
1.9488, 6.6741e+03
1.9054, 6.9220e+03
1.8633, 7.1263e+03
1.8224, 7.2797e+03
1.7826, 7.3978e+03
1.7440, 7.5243e+03
1.7064, 7.7567e+03
1.6698, 7.9039e+03
1.6342, 7.7725e+03
1.5995, 7.9309e+03
1.5658, 8.2130e+03
1.5329, 8.1032e+03
1.5008, 8.1595e+03
1.4695, 8.3356e+03
1.4390, 8.1905e+03
1.4093, 8.2235e+03
1.3803, 8.2585e+03
1.3519, 8.2039e+03
1.3242, 8.2946e+03
1.2972, 8.1469e+03
1.2708, 8.1659e+03
1.2450, 8.1440e+03
1.2198, 8.0275e+03
1.1951, 8.1363e+03
1.1710, 7.8889e+03
1.1474, 7.8696e+03
1.1243, 7.7417e+03
1.1017, 7.7543e+03
1.0796, 7.6881e+03
1.0579, 7.5648e+03
1.0367, 7.4417e+03
1.0159, 7.2453e+03
0.9955, 7.2307e+03
0.9756, 7.1517e+03
0.9560, 7.0071e+03
0.9368, 6.9647e+03
0.9180, 6.8259e+03
0.8996, 6.7437e+03
0.8815, 6.5526e+03
0.8637, 6.4628e+03
0.8463, 6.3539e+03
0.8292, 6.3079e+03
0.8124, 6.1956e+03
0.7959, 6.1087e+03
0.7798, 6.0068e+03
0.7639, 5.8389e+03
0.7483, 5.7730e+03
0.7329, 5.6670e+03
0.7179, 5.6132e+03
0.7030, 5.4992e+03
0.6885, 5.3650e+03
0.6742, 5.2794e+03
0.6601, 5.1978e+03
0.6463, 5.1704e+03
0.6327, 5.0681e+03
0.6193, 4.9559e+03
0.6061, 4.8646e+03
0.5932, 4.7558e+03
0.5804, 4.7432e+03
0.5679, 4.5903e+03
0.5555, 4.5707e+03
0.5434, 4.4632e+03
0.5314, 4.4036e+03
0.5196, 4.3522e+03
0.5080, 4.2941e+03
0.4966, 4.2231e+03
0.4853, 4.1331e+03
0.4743, 4.0861e+03
0.4633, 3.9800e+03
0.4472, 3.9171e+03
0.4315, 3.8345e+03
0.4161, 3.7665e+03
0.4011, 3.6732e+03
0.3863, 3.5684e+03
0.3719, 3.5115e+03
0.3577, 3.4499e+03
0.3439, 3.3580e+03
0.3303, 3.2889e+03
0.3170, 3.2274e+03
0.3039, 3.1237e+03
0.2912, 3.0857e+03
0.2786, 3.0148e+03
0.2663, 2.9448e+03
0.2543, 2.8916e+03
0.2424, 2.8363e+03
0.2308, 2.7673e+03
0.2194, 2.7251e+03
0.2082, 2.6672e+03
0.1972, 2.6066e+03
0.1865, 2.5591e+03
0.1759, 2.5339e+03
0.1655, 2.4649e+03
0.1552, 2.4293e+03
0.1452, 2.3835e+03
0.1353, 2.3208e+03
0.1256, 2.3053e+03
0.1161, 2.2572e+03
0.1067, 2.2267e+03
0.0975, 2.2066e+03
0.0884, 2.1524e+03
0.0795, 2.1103e+03
0.0707, 2.0734e+03
0.0621, 2.0610e+03
0.0536, 2.0257e+03
0.0452, 1.9593e+03
0.0370, 1.9418e+03
0.0289, 1.8985e+03
0.0209, 1.8826e+03
0.0130, 1.8333e+03
0.0053, 1.8480e+03
-0.0023, 1.7675e+03
