# [1] z, [2] ICII
16.9782, 5.7506e-07
15.6326, 1.3161e-03
15.0326, 8.8007e-03
14.4744, 2.9272e-02
13.9537, 7.6402e-02
13.4670, 1.6833e-01
13.0109, 3.0203e-01
12.5827, 4.7997e-01
12.1799, 7.1018e-01
11.8003, 1.0434e+00
11.4420, 1.4027e+00
11.1032, 1.7601e+00
10.6282, 2.7666e+00
10.1891, 4.0134e+00
9.7819, 5.5682e+00
9.4033, 7.5738e+00
9.0505, 9.9966e+00
8.7207, 1.2878e+01
8.4119, 1.6171e+01
8.1222, 2.0086e+01
7.8497, 2.4082e+01
7.5931, 2.8265e+01
7.3509, 3.3133e+01
7.1220, 3.8351e+01
6.9053, 4.3896e+01
6.6998, 4.9853e+01
6.5048, 5.6664e+01
6.3194, 6.3487e+01
6.0579, 7.5209e+01
5.8144, 8.7350e+01
5.5872, 1.0101e+02
5.3746, 1.1530e+02
5.1753, 1.3207e+02
4.9881, 1.4959e+02
4.8119, 1.6897e+02
4.6458, 1.9044e+02
4.4889, 2.1440e+02
4.3405, 2.3927e+02
4.1999, 2.6613e+02
4.0665, 3.0031e+02
3.9399, 3.3214e+02
3.8193, 3.7065e+02
3.7046, 4.1575e+02
3.5951, 4.6574e+02
3.4906, 5.2282e+02
3.3908, 5.7633e+02
3.2953, 6.4237e+02
3.2039, 7.1459e+02
3.1163, 7.8962e+02
3.0323, 8.6951e+02
2.9516, 9.5399e+02
2.8741, 1.0488e+03
2.7996, 1.1450e+03
2.7279, 1.2549e+03
2.6588, 1.3651e+03
2.5923, 1.4732e+03
2.5281, 1.5845e+03
2.4662, 1.7141e+03
2.4065, 1.8350e+03
2.3487, 1.9557e+03
2.2929, 2.0589e+03
2.2389, 2.1782e+03
2.1866, 2.3038e+03
2.1360, 2.4272e+03
2.0870, 2.5220e+03
2.0395, 2.6404e+03
1.9935, 2.7340e+03
1.9488, 2.8408e+03
1.9054, 2.9393e+03
1.8633, 3.0273e+03
1.8224, 3.0967e+03
1.7826, 3.1640e+03
1.7440, 3.2383e+03
1.7064, 3.2931e+03
1.6698, 3.3456e+03
1.6342, 3.3764e+03
1.5995, 3.4195e+03
1.5658, 3.4733e+03
1.5329, 3.4903e+03
1.5008, 3.5142e+03
1.4695, 3.5306e+03
1.4390, 3.5238e+03
1.4093, 3.5402e+03
1.3803, 3.5296e+03
1.3519, 3.5264e+03
1.3242, 3.5363e+03
1.2972, 3.5102e+03
1.2708, 3.5048e+03
1.2450, 3.4841e+03
1.2198, 3.4582e+03
1.1951, 3.4380e+03
1.1710, 3.3952e+03
1.1474, 3.3648e+03
1.1243, 3.3275e+03
1.1017, 3.3022e+03
1.0796, 3.2750e+03
1.0579, 3.2303e+03
1.0367, 3.1810e+03
1.0159, 3.1320e+03
0.9955, 3.0947e+03
0.9756, 3.0509e+03
0.9560, 3.0120e+03
0.9368, 2.9656e+03
0.9180, 2.9195e+03
0.8996, 2.8719e+03
0.8815, 2.8269e+03
0.8637, 2.7853e+03
0.8463, 2.7383e+03
0.8292, 2.6966e+03
0.8124, 2.6482e+03
0.7959, 2.6033e+03
0.7798, 2.5660e+03
0.7639, 2.5154e+03
0.7483, 2.4769e+03
0.7329, 2.4360e+03
0.7179, 2.3950e+03
0.7030, 2.3551e+03
0.6885, 2.3134e+03
0.6742, 2.2743e+03
0.6601, 2.2407e+03
0.6463, 2.2070e+03
0.6327, 2.1672e+03
0.6193, 2.1301e+03
0.6061, 2.0942e+03
0.5932, 2.0527e+03
0.5804, 2.0210e+03
0.5679, 1.9854e+03
0.5555, 1.9567e+03
0.5434, 1.9215e+03
0.5314, 1.8911e+03
0.5196, 1.8644e+03
0.5080, 1.8309e+03
0.4966, 1.8067e+03
0.4853, 1.7742e+03
0.4743, 1.7490e+03
0.4633, 1.7174e+03
0.4472, 1.6821e+03
0.4315, 1.6448e+03
0.4161, 1.6065e+03
0.4011, 1.5691e+03
0.3863, 1.5344e+03
0.3719, 1.5024e+03
0.3577, 1.4684e+03
0.3439, 1.4338e+03
0.3303, 1.4039e+03
0.3170, 1.3764e+03
0.3039, 1.3437e+03
0.2912, 1.3183e+03
0.2786, 1.2890e+03
0.2663, 1.2632e+03
0.2543, 1.2397e+03
0.2424, 1.2138e+03
0.2308, 1.1895e+03
0.2194, 1.1656e+03
0.2082, 1.1446e+03
0.1972, 1.1210e+03
0.1865, 1.0998e+03
0.1759, 1.0820e+03
0.1655, 1.0574e+03
0.1552, 1.0407e+03
0.1452, 1.0208e+03
0.1353, 1.0004e+03
0.1256, 9.8567e+02
0.1161, 9.6678e+02
0.1067, 9.5221e+02
0.0975, 9.3841e+02
0.0884, 9.2435e+02
0.0795, 9.0395e+02
0.0707, 8.9094e+02
0.0621, 8.7583e+02
0.0536, 8.6035e+02
0.0452, 8.4501e+02
0.0370, 8.3175e+02
0.0289, 8.1749e+02
0.0209, 8.0411e+02
0.0130, 7.9068e+02
0.0053, 7.7813e+02
-0.0023, 7.6032e+02
