# [1] z, [2] ICII
16.9782, 7.0633e-07
15.6326, 1.5118e-05
15.0326, 4.9862e-05
14.4744, 1.5996e-04
13.9537, 4.3240e-04
13.4670, 1.0494e-03
13.0109, 2.4576e-03
12.5827, 5.2115e-03
12.1799, 1.0390e-02
11.8003, 1.9816e-02
11.4420, 3.6048e-02
11.1032, 6.2046e-02
10.6282, 1.2982e-01
10.1891, 2.6250e-01
9.7819, 4.9198e-01
9.4033, 8.6763e-01
9.0505, 1.4869e+00
8.7207, 2.4154e+00
8.4119, 3.8099e+00
8.1222, 5.8696e+00
7.8497, 8.6629e+00
7.5931, 1.2487e+01
7.3509, 1.7775e+01
7.1220, 2.4612e+01
6.9053, 3.3397e+01
6.6998, 4.4721e+01
6.5048, 5.9149e+01
6.3194, 7.7165e+01
6.0579, 1.1185e+02
5.8144, 1.5718e+02
5.5872, 2.1724e+02
5.3746, 2.9330e+02
5.1753, 3.8967e+02
4.9881, 4.8114e+02
4.8119, 5.9486e+02
4.6458, 7.2950e+02
4.4889, 8.7576e+02
4.3405, 1.0367e+03
4.1999, 1.2049e+03
4.0665, 1.3920e+03
3.9399, 1.5978e+03
3.8193, 1.7928e+03
3.7046, 2.0008e+03
3.5951, 2.2166e+03
3.4906, 2.4374e+03
3.3908, 2.6613e+03
3.2953, 2.8902e+03
3.2039, 3.1248e+03
3.1163, 3.3674e+03
3.0323, 3.5974e+03
2.9516, 3.8325e+03
2.8741, 4.0523e+03
2.7996, 4.2834e+03
2.7279, 4.5217e+03
2.6588, 4.7231e+03
2.5923, 4.9213e+03
2.5281, 5.1452e+03
2.4662, 5.3384e+03
2.4065, 5.5464e+03
2.3487, 5.7108e+03
2.2929, 5.8893e+03
2.2389, 6.0469e+03
2.1866, 6.2089e+03
2.1360, 6.3451e+03
2.0870, 6.4788e+03
2.0395, 6.6066e+03
1.9935, 6.7167e+03
1.9488, 6.7963e+03
1.9054, 6.9254e+03
1.8633, 6.9841e+03
1.8224, 7.0718e+03
1.7826, 7.1346e+03
1.7440, 7.2028e+03
1.7064, 7.2325e+03
1.6698, 7.3299e+03
1.6342, 7.2977e+03
1.5995, 7.3340e+03
1.5658, 7.3627e+03
1.5329, 7.3325e+03
1.5008, 7.3556e+03
1.4695, 7.3419e+03
1.4390, 7.3201e+03
1.4093, 7.3356e+03
1.3803, 7.2751e+03
1.3519, 7.2507e+03
1.3242, 7.2119e+03
1.2972, 7.1506e+03
1.2708, 7.1175e+03
1.2450, 7.0734e+03
1.2198, 7.0007e+03
1.1951, 6.9629e+03
1.1710, 6.8864e+03
1.1474, 6.8044e+03
1.1243, 6.7135e+03
1.1017, 6.6773e+03
1.0796, 6.6303e+03
1.0579, 6.4977e+03
1.0367, 6.4154e+03
1.0159, 6.3353e+03
0.9955, 6.2614e+03
0.9756, 6.1224e+03
0.9560, 6.0565e+03
0.9368, 5.9880e+03
0.9180, 5.8627e+03
0.8996, 5.7602e+03
0.8815, 5.6282e+03
0.8637, 5.5163e+03
0.8463, 5.4326e+03
0.8292, 5.3117e+03
0.8124, 5.1848e+03
0.7959, 5.1347e+03
0.7798, 5.0012e+03
0.7639, 4.8595e+03
0.7483, 4.7430e+03
0.7329, 4.6426e+03
0.7179, 4.5072e+03
0.7030, 4.4761e+03
0.6885, 4.3454e+03
0.6742, 4.2440e+03
0.6601, 4.0970e+03
0.6463, 4.0456e+03
0.6327, 3.9124e+03
0.6193, 3.7915e+03
0.6061, 3.6944e+03
0.5932, 3.5722e+03
0.5804, 3.4957e+03
0.5679, 3.3802e+03
0.5555, 3.2948e+03
0.5434, 3.2045e+03
0.5314, 3.0972e+03
0.5196, 3.0144e+03
0.5080, 2.8820e+03
0.4966,    nan
0.4853,    nan
0.4743,    nan
0.4633,    nan
0.4472,    nan
0.4315,    nan
0.4161,    nan
0.4011,    nan
0.3863,    nan
0.3719,    nan
0.3577,    nan
0.3439,    nan
0.3303,    nan
0.3170,    nan
0.3039,    nan
0.2912,    nan
0.2786,    nan
0.2663,    nan
0.2543,    nan
0.2424,    nan
0.2308,    nan
0.2194,    nan
0.2082,    nan
0.1972,    nan
0.1865,    nan
0.1759,    nan
0.1655,    nan
0.1552,    nan
0.1452,    nan
0.1353,    nan
0.1256,    nan
0.1161,    nan
0.1067,    nan
0.0975,    nan
0.0884,    nan
0.0795,    nan
0.0707,    nan
0.0621,    nan
0.0536,    nan
0.0452,    nan
0.0370,    nan
0.0289,    nan
0.0209,    nan
0.0130,    nan
0.0053,    nan
-0.0023,    nan
